,number,value,datetime_start,datetime_complete,duration,params_clf__gamma,params_clf__learning_rate,params_clf__max_delta_step,params_clf__max_depth,params_clf__min_child_weight,params_clf__n_estimators,params_clf__reg_alpha,params_clf__reg_lambda,params_clf__scale_pos_weight,state
85,85,0.747773211231666,2024-08-31 01:57:33.191898,2024-08-31 02:35:34.600339,0 days 00:38:01.408441,0.3428778290672051,0.036622137802281955,18.866240808149172,18,3.3717879026049613,100,2.8156276500367463,0.01066939172226213,18.467184076775368,COMPLETE
86,86,0.9239330979854811,2024-08-31 02:35:34.601066,2024-08-31 02:58:17.118370,0 days 00:22:42.517304,2.19966948636459,0.19867218829288735,16.989528293437115,23,0.34187805617764505,150,1.8962834372470805,0.003143839342478985,1.702985886850345,COMPLETE
87,87,0.8689763334788032,2024-08-31 02:58:17.119024,2024-08-31 03:05:00.263047,0 days 00:06:43.144023,0.7997404368009129,0.11410610817387827,11.108431636359231,4,5.284892621496581,150,0.47057862846047915,0.03998467472979535,2.5711689623748946,COMPLETE
88,88,0.9027267295946023,2024-08-31 03:05:00.263671,2024-08-31 03:21:12.908075,0 days 00:16:12.644404,0.20800206963409426,0.4236753207582203,16.067209208562744,22,3.070034458209387,100,4.443976466554356,0.00460073633684773,3.968081282138249,COMPLETE
89,89,0.9148441823922981,2024-08-31 03:21:12.908771,2024-08-31 03:38:58.537315,0 days 00:17:45.628544,0.11713888541680935,0.06972227378792825,9.874156188528765,21,12.235931425298377,150,1.410841064166491,0.002802681101941961,1.3470946293693298,COMPLETE
90,90,0.9010739500932897,2024-08-31 03:38:58.538002,2024-08-31 03:51:21.582183,0 days 00:12:23.044181,1.2740387595035114,0.2576095477528647,0.601889197719105,25,8.374978641486505,100,3.2910227927778464,0.016155858120456678,2.1212990054270895,COMPLETE
91,91,0.9300770538355381,2024-08-31 03:51:21.582812,2024-08-31 04:01:41.066017,0 days 00:10:19.483205,0.14127051814329025,0.7943516354291895,19.769417975680422,20,4.036514872994477,100,7.63122808302961,0.0020393489592856477,1.0052544508386292,COMPLETE
92,92,0.9291406092975577,2024-08-31 04:01:41.066645,2024-08-31 04:12:07.024399,0 days 00:10:25.957754,0.06518212674859408,0.7240182243973298,18.905089885745543,20,4.207994899086576,100,9.984561826762377,0.001000768244751372,1.0985236073013995,COMPLETE
93,93,0.904212811717227,2024-08-31 04:12:07.025041,2024-08-31 04:21:46.108821,0 days 00:09:39.083780,0.03356373315837234,1.1448056584706365,12.249742140667456,20,6.2315710401427475,100,10.903582116262626,0.0014122216109270142,1.7748473778341667,COMPLETE
94,94,0.8075694478776582,2024-08-31 04:21:46.109476,2024-08-31 04:30:56.819632,0 days 00:09:10.710156,0.06764856532163062,1.8288227650601359,17.68942825083384,19,3.8894124037552276,100,14.961867618172862,0.0010263490769910576,2.782572120068421,COMPLETE
