2024-09-16 23:40:44 INFO     A new study created in RDB with name: xgboost-study1
2024-09-16 23:40:44 INFO     START OPTUNA OPTIMIZATION...
2024-09-17 02:18:34 INFO     Trial 39 finished with value: 0.6757610615274499 and parameters: {'clf__max_delta_step': 80.57899583653867, 'clf__max_depth': 8, 'clf__reg_lambda': 25.062669581307418, 'clf__gamma': 2.8327116700181447, 'clf__min_child_weight': 18.593384270433145, 'clf__reg_alpha': 29.972657472360233, 'clf__learning_rate': 0.45449427230395084, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:21:55 INFO     Trial 40 finished with value: 0.8505367748385246 and parameters: {'clf__max_delta_step': 61.86152955361128, 'clf__max_depth': 9, 'clf__reg_lambda': 27.03780149590584, 'clf__gamma': 5.443267420650299, 'clf__min_child_weight': 8.62155970963304, 'clf__reg_alpha': 19.623188585481472, 'clf__learning_rate': 1.4752027024023087, 'clf__grow_policy': 'lossguide'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:25:00 INFO     Trial 41 finished with value: 0.8568329860935973 and parameters: {'clf__max_delta_step': 73.08429238690199, 'clf__max_depth': 3, 'clf__reg_lambda': 28.324082123179128, 'clf__gamma': 2.3897631524720895, 'clf__min_child_weight': 16.748102453095555, 'clf__reg_alpha': 17.287215725336864, 'clf__learning_rate': 1.0265601803757698, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:28:13 INFO     Trial 42 finished with value: 0.8782832720623058 and parameters: {'clf__max_delta_step': 69.70958076350466, 'clf__max_depth': 4, 'clf__reg_lambda': 29.426718972428322, 'clf__gamma': 2.753780337272809, 'clf__min_child_weight': 15.019483575342653, 'clf__reg_alpha': 17.169313003610487, 'clf__learning_rate': 0.7155945751694804, 'clf__grow_policy': 'depthwise'}. Best is trial 42 with value: 0.8782832720623058.
2024-09-17 02:31:47 INFO     Trial 43 finished with value: 0.8570545894945437 and parameters: {'clf__max_delta_step': 55.01798081538901, 'clf__max_depth': 4, 'clf__reg_lambda': 37.271561015958945, 'clf__gamma': 2.739597539436389, 'clf__min_child_weight': 22.040987126019154, 'clf__reg_alpha': 15.415546825004633, 'clf__learning_rate': 0.30228304095046954, 'clf__grow_policy': 'depthwise'}. Best is trial 42 with value: 0.8782832720623058.
2024-09-17 02:34:45 INFO     Trial 44 finished with value: 0.7263998938855325 and parameters: {'clf__max_delta_step': 68.94122360361636, 'clf__max_depth': 5, 'clf__reg_lambda': 20.62314023679623, 'clf__gamma': 23.365441873117568, 'clf__min_child_weight': 14.247089808563468, 'clf__reg_alpha': 21.85019154440857, 'clf__learning_rate': 0.6494292234248107, 'clf__grow_policy': 'depthwise'}. Best is trial 42 with value: 0.8782832720623058.
2024-09-17 02:37:56 INFO     Trial 45 finished with value: 0.2865355188134614 and parameters: {'clf__max_delta_step': 93.92530547246511, 'clf__max_depth': 2, 'clf__reg_lambda': 34.75160023722068, 'clf__gamma': 10.853152066981991, 'clf__min_child_weight': 4.830938009822663, 'clf__reg_alpha': 19.84540108653279, 'clf__learning_rate': 2.654658365106414, 'clf__grow_policy': 'depthwise'}. Best is trial 42 with value: 0.8782832720623058.
2024-09-17 02:41:21 INFO     Trial 46 finished with value: 0.8835151439254726 and parameters: {'clf__max_delta_step': 61.24929576825231, 'clf__max_depth': 4, 'clf__reg_lambda': 0.2417599243853772, 'clf__gamma': 5.9651169716191665, 'clf__min_child_weight': 19.632227602531575, 'clf__reg_alpha': 13.56238050561497, 'clf__learning_rate': 0.2454192751415286, 'clf__grow_policy': 'lossguide'}. Best is trial 46 with value: 0.8835151439254726.
2024-09-17 02:44:30 INFO     Trial 47 finished with value: 0.8612226266322668 and parameters: {'clf__max_delta_step': 61.88698866453229, 'clf__max_depth': 6, 'clf__reg_lambda': 2.2331294850425714, 'clf__gamma': 5.081177306002832, 'clf__min_child_weight': 14.05995041251918, 'clf__reg_alpha': 13.20367569221741, 'clf__learning_rate': 0.7857072195676567, 'clf__grow_policy': 'lossguide'}. Best is trial 46 with value: 0.8835151439254726.
2024-09-17 02:49:28 INFO     Trial 48 finished with value: 0.8983853650949245 and parameters: {'clf__max_delta_step': 46.980394860675545, 'clf__max_depth': 5, 'clf__reg_lambda': 12.701934379336937, 'clf__gamma': 6.635724260202974, 'clf__min_child_weight': 10.427367219085873, 'clf__reg_alpha': 10.40362498524518, 'clf__learning_rate': 0.05387301014397667, 'clf__grow_policy': 'lossguide'}. Best is trial 48 with value: 0.8983853650949245.
